symbol,entry_time,exit_time,qty,entry_price,exit_price,realized_pnl,holding_seconds
NIFTY22112418400PE,2022-11-24 13:44:43,2022-11-24 13:44:45,1.0,32.4,32.3,-0.10000000000000142,2.0
NIFTY22112418350PE,2022-11-24 13:44:45,2022-11-24 13:44:47,1.0,8.95,8.9,-0.049999999999998934,2.0
NIFTY22112418350CE,2022-11-24 13:44:45,2022-11-24 13:44:47,1.0,34.55,34.65,0.10000000000000142,2.0
NIFTY22112418400CE,2022-11-24 13:44:47,2022-11-24 15:02:21,1.0,7.8,25.35,17.55,4654.0
NIFTY22112418400PE,2022-11-24 13:44:47,2022-11-24 15:02:21,1.0,32.35,1.55,-30.8,4654.0
BANKNIFTY22112443000PE,2022-11-24 14:05:03,2022-11-24 14:05:05,1.0,78.6,80.5,1.9000000000000057,2.0
BANKNIFTY22112443000CE,2022-11-24 14:05:03,2022-11-24 14:05:05,1.0,26.05,26.1,0.05000000000000071,2.0
BANKNIFTY22112442900PE,2022-11-24 14:05:05,2022-11-24 14:07:09,1.0,26.9,24.2,-2.6999999999999993,124.0
BANKNIFTY22112442900CE,2022-11-24 14:05:05,2022-11-24 14:07:09,1.0,73.45,72.55,-0.9000000000000057,124.0
BANKNIFTY22112443000PE,2022-11-24 14:07:09,2022-11-24 14:07:14,1.0,77.4,80.0,2.5999999999999943,5.0
BANKNIFTY22112443000CE,2022-11-24 14:07:09,2022-11-24 14:07:14,1.0,25.85,24.55,-1.3000000000000007,5.0
BANKNIFTY22112442900PE,2022-11-24 14:07:14,2022-11-24 14:07:16,1.0,25.55,25.55,0.0,2.0
BANKNIFTY22112442900CE,2022-11-24 14:07:14,2022-11-24 14:07:16,1.0,70.05,69.85,-0.20000000000000284,2.0
BANKNIFTY22112443000PE,2022-11-24 14:07:16,2022-11-24 14:07:17,1.0,80.1,79.7,-0.3999999999999915,1.0
BANKNIFTY22112443000CE,2022-11-24 14:07:16,2022-11-24 14:07:17,1.0,24.75,25.0,0.25,1.0
BANKNIFTY22112442900PE,2022-11-24 14:07:17,2022-11-24 14:07:20,1.0,25.35,24.3,-1.0500000000000007,3.0
BANKNIFTY22112442900CE,2022-11-24 14:07:17,2022-11-24 14:07:20,1.0,70.55,71.7,1.1500000000000057,3.0
BANKNIFTY22112443000PE,2022-11-24 14:07:20,2022-11-24 14:07:57,1.0,78.5,79.35,0.8499999999999943,37.0
BANKNIFTY22112443000CE,2022-11-24 14:07:20,2022-11-24 14:07:57,1.0,25.4,24.9,-0.5,37.0
BANKNIFTY22112442900PE,2022-11-24 14:07:57,2022-11-24 14:12:03,1.0,24.25,22.25,-2.0,246.0
BANKNIFTY22112442900CE,2022-11-24 14:07:57,2022-11-24 14:12:03,1.0,70.0,71.95,1.9500000000000028,246.0
BANKNIFTY22112443000CE,2022-11-24 14:12:03,2022-11-24 14:12:05,1.0,25.3,24.95,-0.3500000000000014,2.0
BANKNIFTY22112443000PE,2022-11-24 14:12:03,2022-11-24 14:12:05,1.0,75.1,76.05,0.9500000000000028,2.0
BANKNIFTY22112442900CE,2022-11-24 14:12:05,2022-11-24 14:12:10,1.0,71.6,75.0,3.4000000000000057,5.0
BANKNIFTY22112442900PE,2022-11-24 14:12:05,2022-11-24 14:12:10,1.0,22.8,20.95,-1.8500000000000014,5.0
BANKNIFTY22112443000CE,2022-11-24 14:12:10,2022-11-24 14:12:47,1.0,26.25,24.6,-1.6499999999999986,37.0
BANKNIFTY22112443000PE,2022-11-24 14:12:10,2022-11-24 14:12:47,1.0,72.25,74.65,2.4000000000000057,37.0
BANKNIFTY22112442900PE,2022-11-24 14:12:47,2022-11-24 14:12:49,1.0,22.15,22.3,0.15000000000000213,2.0
BANKNIFTY22112442900CE,2022-11-24 14:12:47,2022-11-24 14:12:49,1.0,71.8,71.9,0.10000000000000853,2.0
BANKNIFTY22112443000PE,2022-11-24 14:12:49,2022-11-24 14:13:06,1.0,74.95,78.85,3.8999999999999915,17.0
BANKNIFTY22112443000CE,2022-11-24 14:12:49,2022-11-24 14:13:06,1.0,25.0,22.4,-2.6000000000000014,17.0
BANKNIFTY22112442900PE,2022-11-24 14:13:06,2022-11-24 14:13:26,1.0,23.75,23.25,-0.5,20.0
